ZCTA_GEOID10,11-1,11-2,11-3,11-9,13-1,13-2,15-1,15-2,17-1,17-2,17-3,19-1,19-2,19-3,19-4,21-1,21-2,23-1,23-2,25-1,25-2,25-3,25-4,25-9,27-1,27-2,27-3,27-4,29-1,29-2,29-9,31-1,31-2,31-9,33-1,33-2,33-3,33-9,35-1,35-2,35-3,35-9,37-1,37-2,37-3,39-1,39-2,39-3,39-4,39-5,39-6,39-7,39-9,41-1,41-2,41-3,41-4,41-9,43-1,43-2,43-3,43-4,43-5,43-6,43-9,45-1,45-2,45-3,45-4,47-1,47-2,47-3,47-4,47-5,49-1,49-2,49-3,49-9,51-1,51-2,51-3,51-4,51-5,51-6,51-7,51-8,51-9,53-1,53-2,53-3,53-4,53-5,53-6,53-7
,0.756056746,0.369547783,1.129663073,0.279584796,2.226082218,2.364547473,0.985971944,0.014028056,0.022460364,0.289635937,0.126541398,0.101291838,0.113916618,0.126688197,0.122871403,0.074242241,0.001521555,0.531072784,0.343445127,0.437893974,0.882550417,0.236324115,0.030672624,0.300446806,0.013358779,0.020992366,0.046975925,0.015267176,1.320138363,0.482815618,0.03062959,0.240521411,0.020599529,0.143716383,0.001690617,7.2455E-05,0.005675643,0.028909552,0.051580005,0.216984847,0.224906668,0.028179741,0.003171002,0.086489966,0.007238287,0.007650738,0.002257057,0.016441131,0,0.000674892,0.000453592,0.000840866,0.21160957,0.210679156,1.18776241,1.040193223,0.189720278,0.371644933,0.238580147,0.000140292,0.109425158,0.33877203,2.204298887,0.018109883,0.090673605,0.000348189,0.011428498,0,0.000696379,0.018608323,0.079884493,0.001392758,0.075198782,0.010582932,0.069020842,0.134692091,0.250579176,0.432413037,0.052141292,0.106371896,0.001467351,0.078404861,0.049645512,0.032462857,0.005637362,0.007834714,0.269794254,0.087448632,0.669800371,0.59166341,0,0,0.067311057,0.798271675
0485003,31.05485142,7.88415758,23.33939501,29.64544909,58.03825616,43.30458767,29.42328844,1.576711565,0.892715283,22.16347879,9.18544434,4.833310238,3.45344041,7.02495795,5.40536475,12.87818298,0.191983796,9.279931028,5.453372049,19.08293699,39.01569063,10.83423919,3.070303392,14.11900299,3.868406073,4.11267571,8.761939708,1.298266748,23.86505443,11.13271903,0.741011948,6.616460923,0.542953076,4.534843733,0.478701466,0.494059838,2.067277346,6.767621384,1.323644787,5.169937515,8.856452228,3.313445424,0.514489838,5.193314357,3.39729427,1.751269,0.2514227,6.249914147,0.002043527,0.102509223,0.434511014,0.114526317,7.997280971,7.123530376,30.38023319,29.6951771,9.111026332,8.690033009,9.392112582,0.629746496,17.6165805,34.2605711,28.71507599,26.15197229,27.23394104,0.029223137,0.382054315,0.001667292,0.060947236,0.673057788,5.432807667,0.245596488,1.786642976,0.059473726,1.638764286,3.868348021,2.932421589,10.33280281,3.044043053,8.889173014,2.253782284,6.159791317,0.863480725,7.467233194,5.029340672,1.739636201,9.806404595,1.446417244,3.616650268,11.8476577,0.110388536,0.064924797,3.479540446,14.63263016
0485004,25.0849491,6.434815487,19.10957556,20.7020237,45.78143173,36.05151999,18.33905209,0.660947909,0.773943037,20.95545893,8.306710324,3.629185727,3.276140593,3.470945195,4.472435386,10.62290206,0.235508946,7.395042001,4.440642433,13.47735445,28.22958565,7.996613768,1.275636555,9.98944067,4.197348086,3.257202909,7.316371314,1.344258496,11.31293058,6.734610561,2.377689604,2.594430212,0.32222841,3.44006371,0.656601848,0.627402805,2.492524091,6.396429163,1.733112358,6.912829133,11.049231,3.028755246,0.69850693,9.354118247,2.37096869,1.816648345,0.643273051,5.829230636,0.001226116,0.096894376,1.298430389,0.808922247,7.999494021,8.222327094,40.0829057,26.90768423,7.611776956,9.175306011,8.336542759,0.655738523,16.66497874,28.65908902,18.57031351,30.48735899,30.62597846,0.023307936,0.335333101,0.000961742,0.040620211,0.505340378,3.637614392,0.106692226,1.026021603,0.272085833,1.3825084,1.44925896,2.972708935,8.154493069,1.78282601,4.367149835,2.124547567,3.445384529,0.527431976,1.983914395,3.202680408,0.993878539,5.808197936,1.376470103,1.504413036,8.698495216,0.057844815,0.039622101,1.083737422,9.67286546
0485006,41.63645766,9.363357758,31.73470502,48.75603206,70.3963953,58.23070266,69.75330678,2.246693216,1.371110947,28.00587004,11.98691051,7.45423177,6.260061873,9.128952689,8.645110093,15.97434978,0.31785362,8.172891356,4.709458186,33.08807962,67.96404501,19.14381466,4.211317039,24.60420835,6.494480087,7.600787845,12.21015526,4.842328892,44.59693142,26.48304491,3.711859772,22.61279257,1.308158807,11.19597183,1.084992541,1.060022843,4.146355041,14.40496149,4.340002005,17.25738832,30.28255673,9.608404964,2.229865416,25.62782938,9.107875752,5.757056945,0.854329361,20.00908569,0.00980893,0.309528274,1.630462205,0.334005886,31.69861139,15.70879179,89.22213861,35.0853079,16.08847904,12.89528267,22.40769104,2.051921407,40.9145705,78.33006564,72.4406087,50.05312571,57.802017,0.064354122,0.833877491,0.002350469,0.46847246,1.591006328,11.62771406,0.33075313,2.188480111,0.132384679,3.113254127,3.363083494,7.403012707,23.07297115,6.705140042,19.1647559,4.971578373,13.30885344,2.131085801,15.5328623,12.38188331,2.087555714,22.75901376,3.459256497,3.71324812,27.74240761,0.128092837,0.155501732,8.509826034,34.09165366
0485007,26.08230822,5.811517522,20.66637534,24.96992325,46.1828004,41.50255575,19.87640104,1.123598964,1.458144222,27.88958592,11.18170599,6.756536282,6.913393595,8.340455719,8.375480918,7.354952077,0.274709549,6.152437832,3.632081679,15.49344432,31.43482031,8.939447518,2.063092508,11.09945879,5.26345697,4.833319499,13.84221436,3.145706522,21.95870336,12.45192023,1.808856039,11.05969446,0.563816689,3.82880537,0.375266087,0.25693892,1.175683175,5.532186746,1.272196965,5.389255201,10.1745448,2.755248053,1.040853699,11.07033446,5.372519562,1.556575122,0.610904366,4.063007697,0.002860938,0.073124326,2.603864819,1.214619627,9.612001949,6.473533168,33.09477157,19.83486839,5.898910005,6.697916869,11.3365771,0.981402171,20.56039397,44.51263649,33.07658645,33.06663572,35.4657681,0.05724113,1.020774725,0.002542271,0.094583323,1.25555027,9.572773604,0.347399118,1.779312059,0.094811067,1.709440678,1.457488073,3.07741924,14.1172613,5.613720516,14.65130734,7.57796717,10.70652935,1.314829334,15.11173161,7.800732724,1.246794972,19.84035547,2.607469142,3.577038343,24.15471748,0.103271172,0.065983081,7.954017857,23.60322985
0485008,107.3352701,25.5163562,83.52173168,93.03474135,195.1918277,173.845142,160.1889282,6.811071817,3.214898549,84.71550386,33.90367353,13.51808815,12.04444404,15.69815658,15.68363785,29.118186,0.582868977,18.82066355,12.73426733,53.05272518,107.6285575,31.49154153,7.042590883,38.10699352,22.36835347,9.016990484,33.22096592,14.61528757,116.5900921,63.80241601,13.44616425,48.94676056,2.423144073,23.34553112,1.811441964,0.447934597,2.424031132,36.29312874,12.32576605,49.23276457,83.94446518,29.64591789,5.6043398,77.9616995,18.64107399,19.89867418,3.186831347,59.82974105,0.196813085,2.273503363,11.69142095,2.207628836,73.01236535,36.28854113,196.8063204,114.520512,30.97280649,37.41181999,71.78470956,5.915707938,130.9825355,242.584165,266.1054953,141.7090915,169.9182952,0.178092764,2.655697958,0.004700937,0.259820207,2.879439077,24.00072117,0.895858148,5.30038418,0.367691436,8.8814559,10.24803447,24.7166644,57.78588889,12.12154784,42.15982232,13.56644144,30.53300717,3.313702168,18.01142755,3.257948553,5.057854268,49.45155761,8.976783699,38.37098513,76.96154883,0.255683694,0.220143974,14.43652924,74.92345369
0485009,23.92001903,5.287789408,17.32249158,17.23269149,37.78879885,35.33724077,56.41180111,2.588198886,0.832371338,11.33355403,4.707222221,3.035445151,2.901008364,5.077698371,3.775142087,10.21124702,0.190278282,3.685539814,2.425429064,24.18925942,49.20035181,13.77730832,2.046530115,17.14828989,5.095141938,2.826397188,6.648969996,2.767049314,34.53394388,20.51558222,5.463443343,16.05071378,0.776176716,7.331826601,1.111038039,0.763973181,3.053642743,11.30808118,4.631609773,18.71082916,27.69492141,8.331010571,3.795838395,51.90720919,14.21596011,4.324815405,1.966724508,12.46551493,0.185778039,1.528233155,2.181815608,0.590630036,20.71643087,14.72045015,85.04636651,32.2145046,10.79452933,14.22414941,31.35244882,1.846191851,51.84955847,101.3692989,129.4259345,66.93706383,80.21950356,0.308187073,5.067420528,0.012514089,1.475439877,3.912860726,35.07632818,1.081956039,4.425453872,0.30979365,7.289402685,5.521845246,12.87888153,60.59044485,25.25988828,62.44742738,49.78131466,49.30080849,5.36786149,34.77395969,41.71602606,5.485925248,103.5691085,10.26874679,3.520593653,92.96089699,0.257809822,0.409794039,13.29801321,120.7122896
0485012,36.50596298,9.334773278,31.87420546,39.32615161,76.31073613,67.0183755,33.06080188,0.939198119,1.031304268,26.27346334,10.03077155,6.501014095,5.08103809,8.497871554,7.007997927,9.459047282,0.15291412,12.08038222,7.549412832,26.77668708,54.22894039,15.11654537,2.629615888,18.87033862,4.753486843,3.808339793,11.25004234,4.764670211,30.12917809,14.8716196,5.455174561,7.707503826,0.637600411,5.434540881,0.522177873,0.376668833,1.718335438,10.14872911,0.917335523,3.701831042,6.271766791,1.499029124,0.486755448,6.77613551,1.737560582,0.741439303,0.552650501,2.374688627,0.002860938,1.041233825,0.429020454,0.757014927,7.475511575,8.407928066,39.12809472,37.38174685,9.076638333,11.00559204,12.46754839,1.201967781,24.37213908,44.99762006,27.15584185,36.794896,37.00998684,0.034760282,0.36750802,0.001250128,0.091636721,0.574029963,3.812855649,0.129520131,0.928974654,0.018477304,1.283161334,2.917515982,1.743377985,7.543513976,1.249544441,2.918119324,3.39072771,1.148585644,0.698367949,0.643255229,0.963749325,1.097061732,4.841203669,0.815459144,0.879479837,7.213163004,0.06420508,0.039564448,0.634064123,7.956415673
0485013,77.2385063,18.40284927,62.65385757,83.6428965,152.3172424,123.3164042,73.37604494,2.623955057,3.097141083,72.00471541,28.15218178,18.39210101,14.6830093,19.55142221,19.00940114,31.30240564,0.803698449,22.76307906,13.66516472,60.92832242,123.2673421,34.51625578,7.315220939,43.11244186,11.62374484,7.514846205,28.0925984,5.878838635,68.79532188,33.99218498,6.141609832,23.98681131,1.818911761,14.27262524,1.636782437,1.711877294,7.285953121,16.11969997,2.846773257,11.58513951,18.30566264,5.142193068,1.688182328,21.25145293,6.712429697,2.645594002,1.063691238,9.805555352,0.011443752,0.175738184,0.774730501,1.353561464,22.28245204,19.68477594,106.5072422,60.63967705,15.0181693,15.1501355,34.09710817,3.127929711,59.64578818,131.6286356,97.03893229,94.27173871,103.1898674,0.094199714,1.129105979,0.004392909,0.234928854,1.802631721,11.76139979,0.369452,4.507113498,0.105273165,3.671351434,4.694776511,8.829398932,22.39714299,4.012431426,12.6267048,4.559574955,9.325780554,2.53213195,1.991165988,1.981771704,3.610432127,16.9428219,2.642089016,5.453477966,27.83216114,0.324127707,0.237446674,2.003412496,25.67123714
0485014,94.65265177,24.88931403,75.38050381,93.17075617,169.0126454,153.0013206,96.82736374,3.172636262,3.301432491,54.94468456,23.11770231,14.93076852,14.32938834,16.78231557,17.28101748,34.95441503,0.878966957,18.13688079,11.75592743,58.86220082,120.0161702,33.47016158,7.008848065,42.35776956,11.55017515,7.284965685,21.1342316,11.3433183,78.15551394,37.21003384,3.178248342,24.74877061,1.803148382,14.28798667,1.453518617,1.278559824,5.426377499,20.29301183,3.912811794,16.17112942,23.11430939,6.808000508,2.326619282,31.37890662,8.059955961,4.60135732,0.464340856,14.96796984,0.101471833,1.942999499,1.8808198,0.395964341,29.2551236,27.43783108,151.2836119,83.38659617,29.1391924,26.75276843,40.8053716,3.699988485,78.94037354,150.7492474,122.2149405,105.8718082,112.7182703,0.087521377,1.30307887,0.003323397,0.140073081,1.104037705,8.46638183,0.221036805,3.109677218,0.087155407,3.387863263,3.003567935,7.128371488,24.04613673,5.234921998,16.02772944,6.330021328,13.6997628,2.741727204,6.16446889,2.472039912,2.795645038,19.96851736,3.29406188,7.403893226,29.13504171,0.215352595,0.186975629,4.662612112,33.81352192
