PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",00-0000,All Occupations,total,"5,783,690",0.4,1000.000,1.00,26.75,"55,650",0.7,10.19,12.11,19.08,32.89,52.04,"21,190","25,180","39,680","68,420","108,250",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-0000,Management Occupations,major,"330,970",1.1,57.225,1.13,61.80,"128,530",0.6,23.23,34.88,53.29,77.60,#,"48,320","72,550","110,850","161,410",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-1011,Chief Executives,detailed,"11,400",4.9,1.971,1.24,110.04,"228,890",2.0,46.23,72.97,#,#,#,"96,150","151,770",#,#,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-1021,General and Operations Managers,detailed,"99,260",1.5,17.163,1.10,66.78,"138,890",0.9,23.70,35.49,55.15,86.76,#,"49,290","73,820","114,720","180,470",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-1031,Legislators,detailed,690,6.9,0.119,0.31,*,"71,260",2.1,*,*,*,*,*,"42,920","52,880","63,270","90,380","111,850",TRUE,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-2011,Advertising and Promotions Managers,detailed,"1,720",14.1,0.297,1.44,57.35,"119,280",4.7,20.13,31.21,48.55,70.42,#,"41,880","64,930","100,980","146,470",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-2021,Marketing Managers,detailed,"10,550",3.6,1.824,1.24,70.41,"146,440",1.3,33.38,44.97,65.39,88.29,#,"69,420","93,530","136,000","183,650",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-2022,Sales Managers,detailed,"27,110",2.9,4.688,1.80,62.88,"130,800",1.6,21.72,32.89,53.46,79.76,#,"45,180","68,400","111,200","165,900",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-2031,Public Relations and Fundraising Managers,detailed,"2,410",8.2,0.416,0.91,63.23,"131,520",3.0,32.55,44.06,58.55,75.66,98.11,"67,700","91,650","121,790","157,370","204,060",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3011,Administrative Services Managers,detailed,"15,860",3.1,2.742,1.45,51.51,"107,130",1.7,27.24,35.02,47.59,62.25,79.63,"56,650","72,840","98,980","129,480","165,640",,
