IND_CODE,11-0000,13-0000,15-0000,17-0000,19-0000,21-0000,23-0000,25-0000,27-0000,29-0000,31-0000,33-0000,35-0000,37-0000,39-0000,41-0000,43-0000,45-0000,47-0000,49-0000,51-0000,53-0000,55-0000
110000,302800,21500,0,0,21400,0,0,0,0,0,0,3000,0,31400,0,10200,66000,858700,7900,35000,23100,78700,0
111000,173300,7000,200,2400,4800,0,0,1400,1500,400,0,1300,1300,21300,200,7400,39900,477500,5500,18900,7200,36300,0
112000,110600,5700,0,0,4100,300,0,0,1200,400,1300,1200,1400,3800,8400,1700,12000,285700,700,9700,8500,15900,0
113000,1500,200,0,0,2600,0,0,0,0,0,0,100,0,1700,0,100,5800,38400,300,3900,1600,10600,0
1131-2,800,0,0,0,2100,0,0,300,0,0,0,0,0,1500,0,0,1700,6600,0,2000,600,300,0
113300,800,200,0,0,500,0,0,0,0,0,0,100,0,200,0,100,4100,31700,300,2000,1000,10300,0
114000,1500,1600,0,0,0,0,200,0,0,0,0,100,0,0,0,0,200,10900,300,0,1300,3500,0
115000,15900,6900,1000,0,9900,0,0,900,200,200,0,400,0,4600,18300,1000,8100,46200,1100,2500,4400,12400,0
210000,35400,34300,10600,37400,19500,0,6000,0,900,4500,0,1100,500,1300,100,11300,54600,100,219900,51900,47900,89000,0
211000,16300,24600,8500,22800,11400,0,5700,0,600,1700,0,200,300,400,0,3600,22000,0,28000,6800,11700,15100,0
212000,6900,2700,400,4400,2100,0,0,0,0,800,0,600,0,400,0,1300,12300,0,65900,25000,19200,38900,0
212100,1600,700,100,1300,100,0,0,0,0,400,0,200,0,100,0,100,2000,0,23700,7000,2600,10400,0
212200,1200,900,100,2300,1300,0,0,0,0,200,0,200,0,100,0,0,1200,0,13800,8500,4700,4500,0
212300,4200,1100,200,800,600,0,0,0,0,200,0,100,0,200,0,1200,9100,0,28400,9500,11900,24000,0
213000,12100,7000,1700,10200,6100,0,300,0,100,2000,0,300,200,500,0,6300,20200,0,126000,20000,16900,35000,0
220000,39200,45100,21200,52500,9200,0,1600,200,2300,2500,0,5700,0,2800,0,9700,98000,800,29600,144800,82700,8400,0
221000,39200,45100,21200,52500,9200,0,1600,200,2300,2500,0,5700,0,2800,0,9700,98000,800,29600,144800,82700,8400,0
221100,28000,29600,15200,43600,8100,0,1100,200,1900,2100,0,5500,0,2300,0,5500,61100,0,13300,117600,53000,5100,0
221110,11200,12200,4200,19700,6800,0,400,100,600,1300,0,4900,0,300,0,1500,14200,0,5900,34600,38300,2800,0
221111,300,400,100,400,100,0,0,0,0,0,0,0,0,0,0,0,700,0,100,1600,2400,0,0
221112,6200,7700,3000,7700,1500,0,300,0,300,500,0,300,0,200,0,1100,10200,0,4000,25300,24600,2200,0
221113,3300,3100,800,10700,5200,0,0,0,200,600,0,4600,0,100,0,0,2300,0,1200,4700,8800,500,0
221114,500,500,100,400,0,0,100,0,0,0,0,0,0,0,0,200,300,0,400,300,0,0,0
221115,500,300,100,200,0,0,100,0,0,100,0,0,0,0,0,100,600,0,0,1900,800,0,0
221116,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,300,500,0,0
221117,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,200,900,0,0
221118,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,300,200,0,0
221200,7900,14300,5600,8000,500,0,500,0,300,300,0,100,0,100,0,3700,24500,0,10900,21400,12500,1900,0
221300,3200,1200,300,1000,700,0,0,0,0,100,0,0,0,400,0,500,12400,700,5400,5800,17200,1300,0
230000,412700,228800,15400,84600,1100,100,1300,100,9000,8000,0,5200,1000,35800,800,144900,652900,900,4188700,589000,114000,216700,0
236000,164800,78600,4900,37400,600,100,800,0,4000,3000,0,400,100,12400,0,40000,173000,100,900300,30300,18000,21300,0
236100,66500,32000,1500,7200,0,100,400,0,3000,200,0,100,0,9200,0,32400,97900,0,465100,10500,3200,6300,0
236200,98300,46600,3400,30200,600,0,400,0,1000,2800,0,300,100,3200,0,7600,75000,100,435300,19700,14800,15000,0
237000,61300,27400,2700,17900,300,0,300,0,300,2100,0,2900,800,5100,600,9600,70100,500,537100,103400,29400,72400,0
237100,28100,11500,1800,7200,100,0,100,0,100,1200,0,900,0,1500,0,3700,34700,100,257399,83800,18100,25700,0
237130,11500,4200,1500,3100,0,0,0,0,0,400,0,400,0,200,0,1600,12900,0,58700,68600,1400,6300,0
237200,8700,3700,300,800,0,0,200,0,200,0,0,600,700,2100,600,3200,8400,100,6900,1900,0,600,0
237300,18100,8400,400,5800,100,0,0,0,0,400,0,1300,0,900,0,1600,19300,0,212200,11900,4600,36300,0
237900,6400,3700,200,4100,0,0,0,0,0,500,0,200,0,600,0,1000,7700,200,60600,5800,6700,9800,0
238000,186600,122700,7800,29300,200,0,200,0,4600,3000,0,1900,0,18300,100,95300,409900,300,2751200,455400,66600,123000,0
238100,34200,23600,300,3000,0,0,0,0,100,600,0,100,0,1400,0,14200,64500,0,657300,10000,23600,14500,0
238110,7600,4100,0,700,0,0,0,0,0,200,0,0,0,400,0,1400,12100,0,175000,2100,400,5200,0
238140,4500,3000,0,200,0,0,0,0,0,0,0,0,0,300,0,1200,9000,0,126100,900,700,2400,0
238160,9300,7200,100,200,0,0,0,0,0,200,0,0,0,200,0,4900,17100,0,144100,2000,300,2100,0
238200,94500,59500,7000,22800,100,0,200,0,2800,1500,0,500,0,8800,0,46500,223100,0,1117400,396700,16100,23500,0
238210,41200,27200,4300,10600,0,0,0,0,2000,700,0,300,0,1200,0,13800,80700,0,565800,102800,2400,7700,0
238220,46300,29000,2000,10800,0,0,100,0,700,600,0,100,0,7400,0,27100,129000,0,488700,261000,9300,12100,0
238290,7000,3300,600,1400,0,0,0,0,100,200,0,0,0,200,0,5600,13400,0,62800,32900,4400,3800,0
238300,30200,24100,300,1200,0,0,0,0,1200,300,0,0,0,1700,0,23100,68400,0,575100,19700,17800,9800,0
238310,7800,7200,100,200,0,0,0,0,0,100,0,0,0,100,0,3100,13700,0,199400,1100,400,1900,0
238320,6500,5200,0,100,0,0,0,0,0,200,0,0,0,400,0,1800,14400,0,166500,1000,1200,600,0
238900,27800,15600,200,2300,100,0,0,0,400,600,0,1300,0,6400,0,11500,54000,200,401400,29100,9100,75200,0
31-330,701600,475700,288800,795400,119100,300,6500,700,82900,24800,1000,14500,57300,66300,2300,393700,1123700,33000,189100,621400,6377100,973200,0
311000,52500,30000,5000,9400,16000,100,200,0,2100,3100,0,2000,38600,22900,300,62300,110400,18600,4400,91600,832500,252000,0
311100,3300,1700,0,300,1000,0,0,0,100,200,0,100,0,600,100,2500,7100,600,100,3900,25000,10900,0
311200,3000,2300,500,1100,1700,0,0,0,100,100,0,0,0,900,0,700,4500,500,400,5500,30300,8100,0
311300,3800,2000,400,1000,1100,0,0,0,200,100,0,100,900,1000,0,7800,5900,100,500,5800,33300,12500,0
311400,6600,4000,400,1300,2400,0,0,0,100,400,0,200,1600,3200,0,2300,12300,4200,900,14900,88500,29800,0
311500,5700,3300,800,1100,3100,0,0,0,300,300,0,300,2600,1600,0,4500,12200,600,300,10600,67200,26200,0
311600,8200,5300,600,900,1700,100,0,0,200,1500,0,800,700,5200,0,3700,26600,9200,1200,26400,324700,77400,0
311700,1400,500,0,100,100,0,0,0,0,0,0,100,600,900,0,800,2400,1400,100,1900,23400,5900,0
311800,10200,5000,900,700,800,0,100,0,600,200,0,100,23100,6300,0,34200,20000,0,200,11100,148900,41400,0
311900,10400,6000,1100,2900,4200,0,0,0,500,300,0,200,9200,3200,0,5700,19300,1900,600,11600,91100,39700,0
312000,12800,7000,1200,1700,1700,0,0,0,5400,100,0,300,17200,2300,1200,33700,23400,6800,1400,16200,75600,38000,0
312100,11900,6700,1100,1500,1600,0,0,0,5400,100,0,300,17200,2200,1200,33300,22400,6800,800,14900,69000,36500,0
312200,800,300,100,200,100,0,0,0,0,0,0,0,0,100,0,400,1000,0,600,1300,6600,1400,0
313-40,8900,3900,1000,2500,700,0,0,0,2400,100,0,100,0,900,0,6800,24600,0,1700,13400,147600,14300,0
313000,4200,1900,500,1600,600,0,0,0,700,100,0,100,0,500,0,2000,10200,0,700,9200,75200,6400,0
314000,4700,2000,500,900,100,0,0,0,1700,100,0,0,0,400,0,4900,14300,0,1000,4200,72400,7900,0
315-60,7400,3800,1100,600,0,0,0,0,5100,0,0,100,0,800,0,6100,19000,0,0,3000,105600,8000,0
315000,5900,2800,700,300,0,0,0,0,4200,0,0,100,0,700,0,4800,15800,0,0,2300,87100,6500,0
316000,1400,1000,400,300,0,0,0,0,500,0,0,0,0,200,0,1200,3200,0,0,700,18600,1500,0
