MSA_CODE,11-0000,13-0000,15-0000,17-0000,19-0000,21-0000,23-0000,25-0000,27-0000,29-0000,31-0000,33-0000,35-0000,37-0000,39-0000,41-0000,43-0000,45-0000,47-0000,49-0000,51-0000,53-0000,55-0000
10180,2030,2230,920,710,380,920,320,4540,830,5040,3150,1890,7150,1880,2460,7150,9770,170,3450,2720,2390,3860,0
10380,1390,1500,590,1830,190,530,-1,4800,190,1990,490,770,4180,2030,600,6410,7100,200,1420,1190,4190,2010,0
10420,16610,16050,7820,5900,1960,5140,2190,20680,3620,22460,10940,6600,30750,9630,8220,34210,52890,230,9970,12910,27060,21510,0
10500,2380,2190,670,670,200,1060,250,4510,370,4600,1260,2270,5050,1410,1680,6500,9550,310,2070,3470,3190,4580,0
10540,1920,1040,290,640,240,740,80,3120,370,1670,1480,820,3610,1460,2280,3530,5910,560,1860,1870,4580,4580,0
10580,23040,26030,15510,10790,6710,9910,5360,35020,5350,28410,13550,9490,35530,15270,13990,39430,75920,230,16570,16080,17270,23090,0
10740,19140,19340,8980,12970,3760,6100,3600,21920,5330,26140,14010,10850,37390,11720,17410,38520,60440,290,17940,13640,11560,20530,0
10780,2450,2000,350,600,460,1160,300,3580,250,5960,2360,2080,4990,2020,3250,7230,8910,240,2550,2700,3990,3680,0
10900,12820,13090,6850,6370,1840,5710,1460,21150,3310,26760,12260,6840,31020,11000,14650,34050,57750,280,11450,13900,26730,35410,0
11020,1670,1690,650,620,200,1440,220,2920,530,4730,2370,1000,5410,1630,2130,6810,9680,0,2450,2600,4730,4590,0
11100,3510,4080,1530,1670,590,1510,600,7750,1310,7510,3020,3880,11980,3830,3350,13950,18070,450,4940,5960,8170,7760,0
11180,2790,2750,1440,910,1520,460,170,3970,670,2120,1030,530,4670,1520,1410,3860,5410,90,1980,1910,2520,1970,0
11244,100990,109150,54790,37830,12700,17070,12770,78220,23540,73460,34600,24550,150080,53150,45050,167660,263330,1890,71760,45850,104910,79780,0
11260,9820,9190,3370,5070,2590,3990,1500,9280,2110,10010,4710,3990,17060,5710,8400,16320,29310,100,8960,7880,3590,13220,0
11460,11480,11080,8090,5870,9740,2600,960,23650,3000,15140,7000,2500,18050,5310,6210,16060,30970,-1,3240,5780,11210,8330,0
11500,1160,1240,350,430,150,390,120,2330,500,2780,910,1060,4360,1120,870,4600,6310,0,1050,2460,5800,3140,0
11540,5570,5920,2680,2540,490,2310,410,6400,1340,5370,2630,1700,10420,3070,3290,14970,16970,160,6130,5130,16480,8820,0
11640,920,650,210,220,110,510,50,3390,80,2220,740,520,2660,960,360,4400,4710,0,670,820,2440,1300,0
