ZCTA_ID,11-0000,13-0000,15-0000,17-0000,19-0000,21-0000,23-0000,25-0000,27-0000,29-0000,31-0000,33-0000,35-0000,37-0000,39-0000,41-0000,43-0000,45-0000,47-0000,49-0000,51-0000,53-0000,55-0000
485003,92,101,31,32,21,13,15,86,18,36,12,10,19,9,17,85,144,0,8,19,45,35,0
485004,71,82,19,30,15,11,12,61,16,20,6,10,23,12,18,92,134,0,6,14,24,22,0
485006,131,129,72,41,31,16,13,149,31,75,35,21,61,37,61,169,324,1,16,37,99,78,0
485007,78,88,21,41,30,8,10,69,27,36,15,7,20,17,20,72,179,1,13,20,84,62,0
485008,309,369,167,122,57,30,32,237,79,194,75,41,175,102,172,416,1029,3,33,102,177,214,0
485009,64,73,59,17,15,10,6,106,17,61,24,16,59,70,44,157,463,7,45,86,378,241,0
485012,117,143,34,37,27,10,20,118,25,50,14,13,12,9,13,105,184,0,5,13,17,18,0
485013,242,276,76,103,72,32,36,269,53,109,40,27,38,30,38,217,523,1,19,40,58,64,0
485014,288,322,100,81,63,36,30,262,51,119,41,28,50,42,54,318,615,2,13,38,75,79,0
485015,214,236,88,61,49,22,23,222,32,123,51,22,77,64,76,250,781,3,35,69,169,144,0
485016,407,474,118,134,80,45,52,306,74,141,53,44,90,50,82,393,775,2,20,56,106,101,0
485017,78,98,52,20,14,9,7,103,17,85,36,25,72,72,71,182,494,3,43,78,205,194,0
485018,394,459,112,162,71,31,66,269,66,116,42,39,61,39,66,395,604,1,16,48,62,72,0
485019,68,71,49,16,15,10,8,95,11,71,25,10,47,52,39,133,398,3,29,58,170,126,0
485020,319,378,96,106,66,33,47,266,54,125,44,41,73,50,73,259,733,2,21,47,58,72,0
485021,256,290,100,102,66,26,39,277,61,140,57,30,78,58,74,292,754,2,31,58,103,115,0
485022,559,649,221,192,77,56,54,506,97,218,75,55,125,55,96,548,1242,2,35,74,114,107,0
485023,302,337,130,100,44,26,26,237,54,114,39,30,74,47,68,376,795,2,25,58,115,101,0
485024,385,430,155,105,48,39,35,308,74,133,43,49,66,35,50,327,689,1,21,38,64,48,0
485027,347,451,253,151,49,29,30,303,76,159,51,53,102,65,83,464,1183,3,36,83,160,142,0
485028,273,293,104,117,58,22,33,209,50,75,23,33,38,21,40,177,393,1,9,29,26,37,0
485029,278,332,179,82,42,25,27,337,54,173,64,40,123,88,98,479,1072,4,49,104,211,204,0
485031,50,58,38,16,12,6,4,64,8,74,28,13,47,59,31,135,507,4,35,77,278,192,0
485032,673,745,267,226,103,54,61,567,142,259,96,71,200,100,154,761,1732,2,44,112,158,157,0
485033,101,111,66,38,28,20,7,129,23,131,51,26,82,84,55,297,859,8,54,137,450,387,0
485034,23,28,16,11,4,3,2,19,4,14,7,9,11,11,9,56,81,1,6,14,32,27,0
485035,119,135,70,32,20,16,9,115,21,117,52,28,67,105,59,249,801,9,44,145,465,449,0
485037,193,221,119,60,34,26,17,261,31,167,67,30,69,90,58,349,1104,9,45,146,389,423,0
485040,134,156,60,40,20,12,14,107,25,80,32,16,54,43,49,177,519,3,25,60,205,134,0
485041,336,410,162,128,62,31,32,271,58,173,70,46,88,113,88,358,1306,7,62,148,406,336,0
485042,237,258,160,109,44,18,22,127,46,73,27,23,25,29,27,181,570,2,20,49,106,81,0
485043,136,166,82,42,28,21,12,156,22,114,37,28,49,77,45,199,714,7,35,103,289,313,0
485044,690,769,375,427,120,46,70,511,134,205,83,71,109,92,92,751,1432,5,58,146,302,262,0
485045,119,130,47,75,12,8,12,86,17,14,5,9,8,7,7,103,116,0,4,8,19,19,0
485048,586,639,211,410,85,43,54,378,102,119,39,51,40,33,40,441,696,1,19,48,102,80,0
485050,435,504,124,109,44,33,42,315,64,113,36,36,44,23,36,319,550,1,7,30,43,44,0
485051,200,229,108,62,46,25,18,261,31,164,64,31,108,73,84,339,914,4,41,94,205,210,0
485053,206,253,139,83,35,22,23,222,37,130,46,29,59,61,50,328,804,3,30,76,120,118,0
485054,86,90,18,29,13,2,9,31,16,29,8,5,5,3,5,91,72,0,1,4,4,6,0
485083,284,345,89,118,32,24,30,243,53,94,26,32,24,16,18,150,376,0,9,26,35,28,0
485085,339,447,112,127,40,19,38,216,62,98,27,27,26,21,23,275,441,1,15,36,48,40,0
485086,449,557,169,160,64,36,48,351,73,132,40,50,59,37,53,362,776,1,19,56,52,65,0
485087,58,68,34,25,13,6,6,70,13,27,7,12,9,8,6,83,140,1,8,14,15,22,0
485118,39,36,30,20,4,3,3,32,5,21,7,3,3,4,4,44,119,0,2,8,23,12,0
485119,84,77,87,50,9,5,6,40,12,35,15,11,14,20,12,110,261,1,10,34,83,49,0
485120,79,72,57,29,9,6,4,84,14,50,27,14,21,25,25,123,394,1,13,40,110,60,0
485122,46,50,43,30,6,4,3,24,8,27,9,3,4,8,5,42,148,1,10,21,46,31,0
