ZCTA_ID,11-1000,11-2000,11-3000,11-9000,13-1000,13-2000,15-1200,15-2000,17-1000,17-2000,17-3000,19-1000,19-2000,19-3000,19-4000,19-5000,21-1000,21-2000,23-1000,23-2000,25-1000,25-2000,25-3000,25-4000,25-9000,27-1000,27-2000,27-3000,27-4000,29-1000,29-2000,29-9000,31-1100,31-2000,31-9000,33-1000,33-2000,33-3000,33-9000,35-1000,35-2000,35-3000,35-9000,37-1000,37-2000,37-3000,39-1000,39-2000,39-3000,39-4000,39-5000,39-6000,39-7000,39-9000,41-1000,41-2000,41-3000,41-4000,41-9000,43-1000,43-2000,43-3000,43-4000,43-5000,43-6000,43-9000,45-1000,45-2000,45-3000,45-4000,47-1000,47-2000,47-3000,47-4000,47-5000,49-1000,49-2000,49-3000,49-9000,51-1000,51-2000,51-3000,51-4000,51-5100,51-6000,51-7000,51-8000,51-9000,53-1000,53-2000,53-3000,53-4000,53-5000,53-6000,53-7000,55-1000,55-2000,55-3000
485003,31,8,23,30,58,43,0,2,1,22,9,5,3,7,5,0,13,0,9,5,19,39,11,3,14,4,4,9,1,24,11,1,0,1,5,0,0,2,7,1,5,9,3,1,5,3,2,0,6,0,0,0,0,8,7,30,30,9,9,9,1,18,34,29,26,27,0,0,0,0,1,5,0,2,0,2,4,3,10,3,9,2,6,0,7,5,2,10,1,4,12,0,0,3,15,0,0,0
485004,25,6,19,21,46,36,0,1,1,21,8,4,3,3,4,0,11,0,7,4,13,28,8,1,10,4,3,7,1,11,7,2,0,0,3,1,1,2,6,2,7,11,3,1,9,2,2,1,6,0,0,1,1,8,8,40,27,8,9,8,1,17,29,19,30,31,0,0,0,0,1,4,0,1,0,1,1,3,8,2,4,2,3,0,2,3,1,6,1,2,9,0,0,1,10,0,0,0
485006,42,9,32,49,70,58,0,2,1,28,12,7,6,9,9,0,16,0,8,5,33,68,19,4,25,6,8,12,5,45,26,4,0,1,11,1,1,4,14,4,17,30,10,2,26,9,6,1,20,0,0,2,0,32,16,89,35,16,13,22,2,41,78,72,50,58,0,1,0,0,2,12,0,2,0,3,3,7,23,7,19,5,13,0,16,12,2,23,3,4,28,0,0,9,34,0,0,0
485007,26,6,21,25,46,42,0,1,1,28,11,7,7,8,8,0,7,0,6,4,15,31,9,2,11,5,5,14,3,22,12,2,0,1,4,0,0,1,6,1,5,10,3,1,11,5,2,1,4,0,0,3,1,10,6,33,20,6,7,11,1,21,45,33,33,35,0,1,0,0,1,10,0,2,0,2,1,3,14,6,15,8,11,0,15,8,1,20,3,4,24,0,0,8,24,0,0,0
485008,107,26,84,93,195,174,0,7,3,85,34,14,12,16,16,0,29,1,19,13,53,108,31,7,38,22,9,33,15,117,64,13,0,2,23,2,0,2,36,12,49,84,30,6,78,19,20,3,60,0,2,12,2,73,36,197,115,31,37,72,6,131,243,266,142,170,0,3,0,0,3,24,1,5,0,9,10,25,58,12,42,14,31,0,18,3,5,49,9,38,77,0,0,14,75,0,0,0
485009,24,5,17,17,38,35,0,3,1,11,5,3,3,5,4,0,10,0,4,2,24,49,14,2,17,5,3,7,3,35,21,5,0,1,7,1,1,3,11,5,19,28,8,4,52,14,4,2,12,0,2,2,1,21,15,85,32,11,14,31,2,52,101,129,67,80,0,5,0,1,4,35,1,4,0,7,6,13,61,25,62,50,49,0,35,42,5,104,10,4,93,0,0,13,121,0,0,0
485012,37,9,32,39,76,67,0,1,1,26,10,7,5,8,7,0,9,0,12,8,27,54,15,3,19,5,4,11,5,30,15,5,0,1,5,1,0,2,10,1,4,6,1,0,7,2,1,1,2,0,1,0,1,7,8,39,37,9,11,12,1,24,45,27,37,37,0,0,0,0,1,4,0,1,0,1,3,2,8,1,3,3,1,0,1,1,1,5,1,1,7,0,0,1,8,0,0,0
485013,77,18,63,84,152,123,0,3,3,72,28,18,15,20,19,0,31,1,23,14,61,123,35,7,43,12,8,28,6,69,34,6,0,2,14,2,2,7,16,3,12,18,5,2,21,7,3,1,10,0,0,1,1,22,20,107,61,15,15,34,3,60,132,97,94,103,0,1,0,0,2,12,0,5,0,4,5,9,22,4,13,5,9,0,2,2,4,17,3,5,28,0,0,2,26,0,0,0
485014,95,25,75,93,169,153,0,3,3,55,23,15,14,17,17,0,35,1,18,12,59,120,33,7,42,12,7,21,11,78,37,3,0,2,14,1,1,5,20,4,16,23,7,2,31,8,5,0,15,0,2,2,0,29,27,151,83,29,27,41,4,79,151,122,106,113,0,1,0,0,1,8,0,3,0,3,3,7,24,5,16,6,14,0,6,2,3,20,3,7,29,0,0,5,34,0,0,0
485015,66,16,55,76,127,109,0,4,2,42,17,11,10,14,13,0,22,0,14,9,51,103,29,4,36,7,6,13,5,71,40,12,0,2,14,1,0,2,18,6,22,38,12,4,45,15,8,1,23,0,0,3,0,41,21,125,62,17,24,53,5,95,182,169,132,146,0,2,0,0,3,26,1,5,0,6,5,13,45,11,33,12,24,0,17,12,6,49,6,6,64,0,0,9,58,0,0,0
